Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"June 11, 2020","June 11, 2020",Run,354,4.576394972,1568,5.70585282,0.171864437,10.51551807,349.1117752,165,4130,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4391118508
"June 10, 2020","June 10, 2020",Run,434,5.656763693,1858,5.473006393,0.549531983,10.96289961,109.1838515,176,4913,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4387265350
"May 28, 2020","May 27, 2020",Run,480,6.00790646,2237,6.205578173,0.591262651,9.668713444,101.4778297,183,5849,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4340053930
"May 27, 2020","May 27, 2020",Run,231,3.0104067,997,5.522330838,1.187483844,10.86498712,50.52712516,156,2634,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4335868522
"May 27, 2020","May 26, 2020",Bike Ride,68,2.879148603,777,4.499255597,2.793144287,13.33553937,21.48120184,107,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4335850321
"May 25, 2020","May 25, 2020",Run,445,5.798305498,1940,5.575110107,0.535783524,10.76211785,111.9855585,161,5121,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4329373126
"May 24, 2020","May 24, 2020",Bike Ride,1882,72.85822157,15430,3.527536686,0.106638481,17.0089958,562.6491932,124,,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4325170693
"May 22, 2020","May 22, 2020",Run,352,4.554588361,1553,5.680563012,0.673125199,10.56233389,89.13625332,166,4092,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4317139711
"May 20, 2020","May 20, 2020",Run,515,6.327860141,2471,6.507371948,4.083210302,9.220334112,14.69432461,150,6435,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4311324313
"May 19, 2020","May 19, 2020",Walk,51,0.891095382,676,12.63110932,1.643943122,4.750171937,36.49766884,115,1226,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/4304790433
